Participant,Practice,Block,Trial,Ratio,Position,Orientation,Answer,CompletionTime,ParticipantAngle,TaskCompletionTime
9,false,1,9,0.18,0,vertical,12,23.34592,95.08356,23825.2
9,false,1,10,0.18,1,vertical,15,9.017197,164.0896,9260.172
9,false,1,11,0.38,0,vertical,35,10.94522,94.8823,11694.7
9,false,1,12,0.18,2,vertical,12,12.58083,170.4078,13124.47
9,false,1,13,0.48,0,vertical,50,2.496399,92.12599,2948.922
9,false,1,14,0.28,1,vertical,25,5.460373,163.7562,5841.75
9,false,1,15,0.78,0,vertical,75,9.056061,97.0178,9662.359
9,false,1,16,0.68,0,vertical,70,8.455933,101.4385,8466.531
9,false,1,17,0.38,2,vertical,40,5.151672,170.1457,5551.281
9,false,1,18,0.68,2,vertical,70,7.178772,170.1923,7182.688
9,false,1,19,0.78,2,vertical,80,7.518188,170.2516,7528.281
9,false,1,20,0.88,0,vertical,80,11.50284,97.51449,11918
9,false,1,21,0.48,1,vertical,50,2.986969,163.7245,3339.688
9,false,1,22,0.58,1,vertical,55,7.426086,163.6298,7427.969
9,false,1,23,0.28,2,vertical,25,4.527618,170.4413,4534.906
9,false,2,0,0.48,0,horizontal,50,3.165649,88.5953,3686.031
9,false,2,1,0.58,1,horizontal,50,3.64267,162.0691,4032.594
9,false,2,2,0.18,0,horizontal,20,12.93607,87.77548,13515.63
9,false,2,3,0.28,1,horizontal,15,7.331329,162.8833,7684.125
9,false,2,4,0.18,2,horizontal,10,7.906464,170.2347,7908.469
9,false,2,5,0.28,0,horizontal,25,5.605255,87.74254,6087.688
9,false,2,6,0.18,1,horizontal,15,5.715118,163.0937,6109.875
9,false,2,7,0.38,0,horizontal,40,9.255249,87.54835,9740.094
9,false,2,8,0.48,2,horizontal,46,3.587128,170.0288,3943
9,false,2,9,0.58,2,horizontal,55,3.628326,170.0826,3630.094
9,false,2,10,0.38,2,horizontal,20,6.484558,170.018,6489.563
9,false,2,11,0.88,0,horizontal,85,7.795746,83.26258,8466.75
9,false,2,12,0.58,0,horizontal,60,5.893372,85.0878,5897.625
9,false,2,13,0.38,1,horizontal,40,3.190582,163.0949,3641.656
9,false,2,14,0.68,0,horizontal,65,5.55603,86.28724,6143.25
9,false,2,15,0.48,1,horizontal,50,2.359222,162.5779,2703.188
9,false,2,16,0.78,2,horizontal,85,6.370453,169.9832,6377.875
9,false,2,17,0.68,2,horizontal,90,7.945862,170.0572,7953.188
9,false,2,18,0.78,0,horizontal,80,6.269989,86.03953,6735.25
9,false,2,19,0.28,2,horizontal,10,6.159882,170.1672,6578.781
9,false,2,20,0.68,1,horizontal,80,4.953094,162.7154,4959.875
9,false,2,21,0.88,2,horizontal,90,6.699707,169.8106,6702.188
9,false,2,22,0.78,1,horizontal,90,6.31012,162.5059,6310.375
9,false,2,23,0.88,1,horizontal,91,7.348877,162.5374,7349.906
10,false,1,0,0.68,0,horizontal,75,10.41507,78.4019,10835.42
10,false,1,1,0.88,1,horizontal,95,8.688156,164.4463,9073.078
10,false,1,2,0.78,1,horizontal,80,6.042221,164.2075,6042.953
10,false,1,3,0.28,1,horizontal,15,10.69844,164.3308,10700.66
10,false,1,4,0.68,2,horizontal,61,8.040588,171.1302,8042.141
10,false,1,5,0.58,0,horizontal,59,11.99512,78.8942,12443.42
10,false,1,6,0.48,0,horizontal,45,11.03079,80.01682,11035.69
10,false,1,7,0.28,0,horizontal,21,10.95491,79.89247,10957.45
10,false,1,8,0.58,1,horizontal,61,3.028152,164.4409,3306.578
10,false,1,9,0.48,2,horizontal,32,3.714279,171.1855,3719.453
10,false,1,10,0.28,2,horizontal,12,7.788513,170.9367,7796.469
10,false,1,11,0.78,0,horizontal,85,9.999115,79.23763,10488.36
10,false,1,12,0.38,1,horizontal,25,9.247101,164.6909,9692.438
10,false,1,13,0.18,0,horizontal,17,8.284851,80.69904,8704.406
10,false,1,14,0.18,2,horizontal,13,5.827423,171.3461,6009.25
10,false,1,15,0.88,2,horizontal,90,7.422211,171.2472,7428.125
10,false,1,16,0.88,0,horizontal,91,7.732697,79.78429,8343.813
10,false,1,17,0.38,2,horizontal,23,7.485779,171.2321,7930.875
10,false,1,18,0.48,1,horizontal,43,6.12561,164.3419,6128.719
10,false,1,19,0.68,1,horizontal,73,5.044708,164.3234,5052.406
10,false,1,20,0.38,0,horizontal,36,7.326324,79.19803,7803.844
10,false,1,21,0.58,2,horizontal,50,10.02759,171.0832,10034.63
10,false,1,22,0.78,2,horizontal,77,4.472748,171.0887,4478.469
10,false,1,23,0.18,1,horizontal,9,10.51736,164.1551,10522.41
10,false,2,0,0.58,1,vertical,59,3.809692,165.1077,3819.219
10,false,2,1,0.28,2,vertical,29,6.264862,171.452,6266.313
10,false,2,2,0.18,0,vertical,15,10.52359,89.65522,11114.25
10,false,2,3,0.68,0,vertical,69,10.38831,91.96449,10853.63
10,false,2,4,0.38,1,vertical,41,6.046478,165.4665,6213.719
10,false,2,5,0.28,0,vertical,26,11.21906,92.51801,11705.91
10,false,2,6,0.48,2,vertical,46,3.87326,171.3182,3998.656
10,false,2,7,0.38,2,vertical,39,7.066101,171.3157,7070.625
10,false,2,8,0.48,1,vertical,48,3.235382,165.1023,3235.938
10,false,2,9,0.48,0,vertical,46,4.048279,93.05083,4546.219
10,false,2,10,0.68,1,vertical,68,9.917084,165.4203,10368.81
10,false,2,11,0.88,2,vertical,89,8.461792,171.6143,8466.969
10,false,2,12,0.38,0,vertical,39,6.475586,93.44923,6891.563
10,false,2,13,0.18,1,vertical,18,7.069916,165.5366,7361
10,false,2,14,0.78,2,vertical,79,5.308929,171.7284,5316.75
10,false,2,15,0.58,2,vertical,57,3.516846,171.726,3519.063
10,false,2,16,0.88,0,vertical,91,14.88568,93.22472,15246.59
10,false,2,17,0.18,2,vertical,18,7.781555,171.547,7784.781
10,false,2,18,0.58,0,vertical,59,3.803772,93.30982,4211.094
10,false,2,19,0.68,2,vertical,70,6.461792,171.5764,6724.688
10,false,2,20,0.28,1,vertical,28,6.507141,165.296,6512.031
10,false,2,21,0.78,1,vertical,73,4.173645,165.2458,4177.594
10,false,2,22,0.78,0,vertical,73,3.605225,91.83602,3987.156
10,false,2,23,0.88,1,vertical,89,8.809082,165.4848,9159.375
11,false,1,0,0.78,0,vertical,75,10.70099,95.97562,11785.13
11,false,1,1,0.48,1,vertical,45,7.799927,167.3378,8454.5
11,false,1,2,0.88,1,vertical,85,9.717712,167.129,9717.813
11,false,1,3,0.48,0,vertical,40,5.761963,95.8368,6322
11,false,1,4,0.28,0,vertical,20,9.366943,96.452,9371.625
11,false,1,5,0.18,0,vertical,15,12.78973,96.63002,12800.63
11,false,1,6,0.48,2,vertical,48,5.43396,172.6905,6299.75
11,false,1,7,0.78,1,vertical,75,8.880981,167.5564,8891.5
11,false,1,8,0.58,0,vertical,55,7.546204,95.96648,8220.75
11,false,1,9,0.28,2,vertical,30,9.10907,172.6707,9740.625
11,false,1,10,0.88,0,vertical,85,10.00977,98.7505,10756.25
11,false,1,11,0.38,0,vertical,35,8.755493,98.22007,8756.813
11,false,1,12,0.18,1,vertical,25,9.319031,167.3158,9874.688
11,false,1,13,0.88,2,vertical,86,10.57452,172.5521,10577.75
11,false,1,14,0.28,1,vertical,35,7.212097,167.2645,7215.313
11,false,1,15,0.68,0,vertical,65,10.12396,97.64055,10723
11,false,1,16,0.78,2,vertical,75,7.187805,172.4444,7797.188
11,false,1,17,0.58,1,vertical,60,6.142273,167.3952,6143.313
11,false,1,18,0.58,2,vertical,56,5.973145,172.557,5975.375
11,false,1,19,0.68,2,vertical,66,9.512146,172.5576,9516.75
11,false,1,20,0.38,2,vertical,35,6.870789,172.5676,6880.875
11,false,1,21,0.38,1,vertical,35,4.494141,167.3279,4501.125
11,false,1,22,0.18,2,vertical,25,11.40997,172.5558,11415.81
11,false,1,23,0.68,1,vertical,70,8.331604,167.373,8332.75
11,false,2,0,0.88,0,horizontal,90,11.32477,86.91249,12208.56
11,false,2,1,0.38,1,horizontal,33,10.01434,166.9563,10689.56
11,false,2,2,0.78,1,horizontal,75,5.476501,166.8512,5484.375
11,false,2,3,0.18,1,horizontal,15,11.76007,166.8801,11761.31
11,false,2,4,0.38,2,horizontal,18,7.343506,172.4626,7350.125
11,false,2,5,0.58,2,horizontal,40,9.311279,172.4816,9312.25
11,false,2,6,0.48,2,horizontal,39,4.048096,172.4888,4059
11,false,2,7,0.68,2,horizontal,46,8.458313,172.4332,8465.75
11,false,2,8,0.78,0,horizontal,85,8.552124,89.44693,9393.813
11,false,2,9,0.58,0,horizontal,70,9.055298,89.12424,9058.813
11,false,2,10,0.18,0,horizontal,15,7.394592,90.04941,7394.813
11,false,2,11,0.28,0,horizontal,30,15.78851,89.23484,15793.88
11,false,2,12,0.18,2,horizontal,13,10.14539,172.5837,10812.44
11,false,2,13,0.48,1,horizontal,41,8.657593,166.6276,8667.75
11,false,2,14,0.28,1,horizontal,20,9.205688,167.1633,9214.813
11,false,2,15,0.48,0,horizontal,50,7.045776,86.96455,7628.938
11,false,2,16,0.78,2,horizontal,90,12.32422,172.3078,12789.5
11,false,2,17,0.38,0,horizontal,40,10.70569,86.54716,11270.38
11,false,2,18,0.28,2,horizontal,25,5.694702,172.148,6344.625
11,false,2,19,0.88,1,horizontal,89,8.05957,166.3508,8064.875
11,false,2,20,0.68,0,horizontal,75,6.753296,86.22328,7316
11,false,2,21,0.88,2,horizontal,95,9.182617,172.1342,9807
11,false,2,22,0.68,1,horizontal,75,7.309937,166.4363,7316.25
11,false,2,23,0.58,1,horizontal,69,6.712158,166.384,6713.375
12,false,1,0,0.28,0,horizontal,20,19.47549,82.44596,19480.53
12,false,1,1,0.48,0,horizontal,49,13.59167,84.87141,13593.94
12,false,1,2,0.38,0,horizontal,36,23.58179,82.22198,23590.13
12,false,1,3,0.78,2,horizontal,70,24.61298,169.6022,26964.5
12,false,1,4,0.68,0,horizontal,75,6.561554,75.76474,7193.031
12,false,1,5,0.88,1,horizontal,88,12.40802,163.576,13057.59
12,false,1,6,0.68,1,horizontal,63,8.664703,163.9399,8667.781
12,false,1,7,0.38,2,horizontal,16,15.70306,170.698,15705.03
12,false,1,8,0.18,0,horizontal,14,23.1394,87.21197,23814.16
12,false,1,9,0.58,2,horizontal,30,18.52917,170.1286,19278.63
12,false,1,10,0.88,0,horizontal,90,9.448364,83.13786,9974.75
12,false,1,11,0.88,2,horizontal,90,27.97534,168.9822,28349.19
12,false,1,12,0.18,2,horizontal,10,7.436462,169.6107,7438.938
12,false,1,13,0.48,2,horizontal,22,12.01093,169.7462,12018.94
12,false,1,14,0.78,0,horizontal,77,17.18225,83.55072,17793.5
12,false,1,15,0.48,1,horizontal,36,18.3822,166.5114,19044.38
12,false,1,16,0.58,1,horizontal,40,6.170471,162.0729,6177.188
12,false,1,17,0.18,1,horizontal,10,11.33002,162.5971,11337.31
12,false,1,18,0.28,2,horizontal,10,10.59711,169.793,10600.44
12,false,1,19,0.38,1,horizontal,25,9.200806,162.866,9203.625
12,false,1,20,0.78,1,horizontal,80,10.18378,162.8545,10194.13
12,false,1,21,0.28,1,horizontal,20,9.683289,162.7463,9688.438
12,false,1,22,0.58,0,horizontal,60,11.92932,78.44483,12923.81
12,false,1,23,0.68,2,horizontal,60,28.29291,169.0883,29019.06
12,false,2,0,0.18,1,vertical,25,10.88214,165.7819,10890.88
12,false,2,1,0.68,0,vertical,65,8.363342,97.26772,9170
12,false,2,2,0.28,2,vertical,30,9.069702,172.1025,9617.5
12,false,2,3,0.38,0,vertical,35,13.03217,94.43903,13884.75
12,false,2,4,0.18,0,vertical,17,27.42035,96.21477,27421.5
12,false,2,5,0.58,1,vertical,60,11.2052,165.9812,11840.38
12,false,2,6,0.28,1,vertical,35,13.94501,168.4171,13950.94
12,false,2,7,0.68,2,vertical,70,11.17004,171.9449,11180.56
12,false,2,8,0.78,0,vertical,80,8.060852,93.45763,8801.938
12,false,2,9,0.68,1,vertical,75,10.45996,167.1629,10932.44
12,false,2,10,0.78,1,vertical,80,17.56628,165.9353,17572.94
12,false,2,11,0.48,1,vertical,46,6.578491,167.5392,6578.938
12,false,2,12,0.38,1,vertical,40,5.00531,167.2852,5015.688
12,false,2,13,0.48,0,vertical,45,7.592468,96.6039,8209.438
12,false,2,14,0.58,2,vertical,57,6.922119,173.0482,7651.813
12,false,2,15,0.48,2,vertical,42,4.780151,172.1959,4780.313
12,false,2,16,0.28,0,vertical,30,11.34271,92.23496,11884.75
12,false,2,17,0.88,1,vertical,85,14.75684,168.4179,15391.94
12,false,2,18,0.78,2,vertical,80,14.13135,169.8036,14141.13
12,false,2,19,0.88,0,vertical,90,6.792236,92.67906,7383.125
12,false,2,20,0.18,2,vertical,10,6.832642,171.7219,7651.5
12,false,2,21,0.58,0,vertical,55,25.60327,87.17522,26159.56
12,false,2,22,0.38,2,vertical,40,15.63379,172.226,16274.88
12,false,2,23,0.88,2,vertical,90,7.852539,171.2314,7863.313
13,false,1,0,0.18,1,vertical,17,10.98666,164.678,12152.97
13,false,1,1,0.58,0,vertical,58,8.980713,96.01344,9482.938
13,false,1,2,0.48,2,vertical,46,7.852539,171.1907,9282.938
13,false,1,3,0.88,2,vertical,88,8.451843,170.606,8454.875
13,false,1,4,0.28,1,vertical,35,6.70929,164.0092,6713
13,false,1,5,0.88,0,vertical,85,8.701874,96.02731,9181.469
13,false,1,6,0.78,0,vertical,76,9.362274,94.86768,9371.531
13,false,1,7,0.38,0,vertical,35,7.032532,95.46204,7036.906
13,false,1,8,0.28,2,vertical,28,10.82654,171.2324,11471.78
13,false,1,9,0.18,0,vertical,19,10.22705,97.08778,10689.38
13,false,1,10,0.18,2,vertical,20,8.204437,171.2979,10277.41
13,false,1,11,0.68,0,vertical,71,10.74011,96.43073,11135.69
13,false,1,12,0.38,1,vertical,36,10.8331,164.1616,11392.97
13,false,1,13,0.28,0,vertical,26,10.24469,96.804,10700.47
13,false,1,14,0.48,0,vertical,45,15.13544,95.66833,15146.31
13,false,1,15,0.58,1,vertical,56,9.15332,164.8216,9651.25
13,false,1,16,0.68,1,vertical,72,7.414093,164.0616,7416.313
13,false,1,17,0.48,1,vertical,43,10.87161,164.0282,10879.75
13,false,1,18,0.78,1,vertical,76,8.594727,164.064,8600.875
13,false,1,19,0.38,2,vertical,34,9.823944,170.8034,9829.219
13,false,1,20,0.88,1,vertical,85,12.15442,164.1415,12163.81
13,false,1,21,0.58,2,vertical,56,8.422821,170.7805,8423.969
13,false,1,22,0.78,2,vertical,71,5.695435,170.7935,5705.938
13,false,1,23,0.68,2,vertical,67,9.769104,170.7912,9773.688
13,false,2,0,0.88,1,horizontal,88,20.86371,163.0599,22473.5
13,false,2,1,0.78,0,horizontal,78,11.95111,82.75435,12354.06
13,false,2,2,0.58,1,horizontal,65,12.00629,164.1392,12621.88
13,false,2,3,0.38,1,horizontal,31,12.46082,162.8716,12465.63
13,false,2,4,0.68,0,horizontal,59,9.903625,82.74985,10287.25
13,false,2,5,0.88,0,horizontal,85,16.71393,81.78672,16721.44
13,false,2,6,0.38,0,horizontal,31,9.11731,82.36477,9125.563
13,false,2,7,0.58,2,horizontal,59,14.05096,170.2174,14855.88
13,false,2,8,0.88,2,horizontal,82,11.4444,169.851,11449
13,false,2,9,0.28,1,horizontal,26,11.19275,162.2539,11192.75
13,false,2,10,0.78,1,horizontal,71,9.676697,162.2559,9684
13,false,2,11,0.78,2,horizontal,72,4.824097,170.0958,4825.188
13,false,2,12,0.28,0,horizontal,25,13.87842,83.00491,14498.75
13,false,2,13,0.68,2,horizontal,61,8.045898,170.1797,8656.375
13,false,2,14,0.48,2,horizontal,41,5.698059,170.1178,5707.688
13,false,2,15,0.48,0,horizontal,45,6.456787,83.45869,6947.688
13,false,2,16,0.18,2,horizontal,12,14.36914,169.3216,14912.31
13,false,2,17,0.58,0,horizontal,53,9.464294,90.977,9739.563
13,false,2,18,0.48,1,horizontal,47,5.753296,162.4645,6333.438
13,false,2,19,0.68,1,horizontal,59,6.465027,162.4297,6467.313
13,false,2,20,0.18,1,horizontal,15,8.196838,162.692,8198.5
13,false,2,21,0.18,0,horizontal,17,6.679443,85.57211,7282.563
13,false,2,22,0.38,2,horizontal,24,18.41412,170.2393,19223.56
13,false,2,23,0.28,2,horizontal,15,9.687805,169.4869,9695.938
